Population_Size,Number_Interactions,Percentage_Masked,Hospitalization_Rate,recovered,susceptible,total_days,max_sick,max_hosptalized,max_sick_mask_wearers,total_mask_wearers
3000,4,8,0.4,2992,9,17,2519,1007.6,188,240
3000,4,9,0.4,2991,10,19,2544,1017.6,215,270
3000,4,10,0.4,2993,8,18,2536,1014.4000000000001,245,300
3000,4,11,0.4,2992,9,18,2502,1000.8000000000001,240,330
3000,4,12,0.4,2996,5,19,2529,1011.6,284,360
3000,4,13,0.4,2993,8,19,2467,986.8000000000001,303,390
3000,4,14,0.4,2983,18,18,2503,1001.2,305,421
3000,4,15,0.4,2991,10,19,2504,1001.6,351,450
3000,4,16,0.4,2995,6,19,2479,991.6,364,480
3000,4,17,0.4,2988,13,19,2471,988.4000000000001,379,511
3000,4,18,0.4,2995,6,20,2483,993.2,425,540
3000,4,19,0.4,2987,14,19,2506,1002.4000000000001,441,570
3000,5,0,0.4,3000,1,18,2557,1022.8000000000001,0,0
3000,5,1,0.4,3000,1,17,2616,1046.4,25,30
3000,5,2,0.4,2996,5,18,2615,1046.0,44,60
3000,5,3,0.4,2999,2,18,2533,1013.2,77,90
3000,5,4,0.4,2997,4,18,2571,1028.4,101,120
3000,5,5,0.4,2995,6,17,2553,1021.2,119,150
3000,5,6,0.4,2994,7,17,2536,1014.4000000000001,137,180
3000,5,7,0.4,2997,4,18,2515,1006.0,173,211
3000,5,8,0.4,2989,12,18,2542,1016.8000000000001,192,240
3000,5,9,0.4,2993,8,17,2520,1008.0,202,270
3000,5,10,0.4,2993,8,19,2486,994.4000000000001,233,300
3000,5,11,0.4,2987,14,17,2514,1005.6,265,330
3000,5,12,0.4,2994,7,17,2517,1006.8000000000001,288,360
3000,5,13,0.4,2987,14,18,2510,1004.0,295,390
3000,5,14,0.4,2989,12,21,2470,988.0,321,421
3000,5,15,0.4,2994,7,18,2518,1007.2,353,450
3000,5,16,0.4,2988,13,18,2470,988.0,371,480
3000,5,17,0.4,2991,10,19,2477,990.8000000000001,395,511
3000,5,18,0.4,2994,7,22,2513,1005.2,421,540
3000,5,19,0.4,2984,17,19,2483,993.2,450,570
3000,6,0,0.4,2997,4,17,2622,1048.8,0,0
3000,6,1,0.4,3000,1,17,2584,1033.6000000000001,27,30
3000,6,2,0.4,2999,2,18,2557,1022.8000000000001,48,60
3000,6,3,0.4,2997,4,18,2535,1014.0,71,90
3000,6,4,0.4,2997,4,16,2594,1037.6000000000001,101,120
3000,6,5,0.4,2995,6,17,2497,998.8000000000001,120,150
3000,6,6,0.4,2998,3,17,2544,1017.6,140,180
3000,6,7,0.4,2995,6,16,2506,1002.4000000000001,163,211
3000,6,8,0.4,2995,6,19,2523,1009.2,193,240
3000,6,9,0.4,2996,5,22,2501,1000.4000000000001,215,270
3000,6,10,0.4,2997,4,17,2545,1018.0,241,300
3000,6,11,0.4,2993,8,18,2507,1002.8000000000001,260,330
3000,6,12,0.4,2995,6,18,2488,995.2,280,360
3000,6,13,0.4,2994,7,18,2503,1001.2,301,390
3000,6,14,0.4,2989,12,17,2509,1003.6,319,421
3000,6,15,0.4,2992,9,17,2443,977.2,343,450
3000,6,16,0.4,2991,10,17,2501,1000.4000000000001,380,480
3000,6,17,0.4,2993,8,20,2466,986.4000000000001,387,511
3000,6,18,0.4,2986,15,20,2493,997.2,423,540
3000,6,19,0.4,2982,19,19,2470,988.0,433,570
3000,7,0,0.4,3000,1,17,2621,1048.4,0,0
3000,7,1,0.4,2997,4,16,2566,1026.4,22,30
3000,7,2,0.4,3000,1,17,2534,1013.6,52,60
3000,7,3,0.4,2999,2,17,2553,1021.2,71,90
3000,7,4,0.4,2997,4,16,2620,1048.0,97,120
3000,7,5,0.4,3000,1,19,2568,1027.2,127,150
3000,7,6,0.4,2996,5,17,2546,1018.4000000000001,137,180
3000,7,7,0.4,2993,8,19,2540,1016.0,155,211
3000,7,8,0.4,2989,12,17,2545,1018.0,187,240
3000,7,9,0.4,2997,4,17,2513,1005.2,209,270
3000,7,10,0.4,2994,7,18,2561,1024.4,229,300
3000,7,11,0.4,2996,5,18,2480,992.0,269,330
3000,7,12,0.4,2994,7,19,2471,988.4000000000001,279,360
3000,7,13,0.4,2985,16,18,2488,995.2,288,390
3000,7,14,0.4,2991,10,17,2508,1003.2,340,421
3000,7,15,0.4,2989,12,19,2497,998.8000000000001,344,450
3000,7,16,0.4,2991,10,20,2446,978.4000000000001,370,480
3000,7,17,0.4,2990,11,19,2486,994.4000000000001,389,511
3000,7,18,0.4,2985,16,18,2453,981.2,411,540
3000,7,19,0.4,2986,15,18,2510,1004.0,426,570
3000,8,0,0.4,2999,2,15,2587,1034.8,0,0
3000,8,1,0.4,3000,1,17,2604,1041.6000000000001,24,30
3000,8,2,0.4,2999,2,17,2617,1046.8,47,60
3000,8,3,0.4,2999,2,17,2512,1004.8000000000001,69,90
3000,8,4,0.4,2999,2,16,2587,1034.8,95,120
3000,8,5,0.4,3000,1,18,2556,1022.4000000000001,114,150
3000,8,6,0.4,2994,7,16,2533,1013.2,139,180
3000,8,7,0.4,2996,5,18,2570,1028.0,159,211
3000,8,8,0.4,2993,8,18,2526,1010.4000000000001,180,240
3000,8,9,0.4,2989,12,18,2539,1015.6,202,270
3000,8,10,0.4,2997,4,18,2523,1009.2,238,300
3000,8,11,0.4,2993,8,18,2506,1002.4000000000001,250,330
3000,8,12,0.4,2988,13,18,2473,989.2,276,360
3000,8,13,0.4,2992,9,19,2474,989.6,295,390
3000,8,14,0.4,2995,6,19,2432,972.8000000000001,332,421
3000,8,15,0.4,2985,16,19,2464,985.6,325,450
3000,8,16,0.4,2988,13,18,2490,996.0,374,480
3000,8,17,0.4,2987,14,18,2464,985.6,395,511
3000,8,18,0.4,2984,17,18,2472,988.8000000000001,418,540
3000,8,19,0.4,2992,9,18,2492,996.8000000000001,416,570
3000,9,0,0.4,2999,2,17,2602,1040.8,0,0
3000,9,1,0.4,2998,3,17,2604,1041.6000000000001,23,30
3000,9,2,0.4,2999,2,17,2593,1037.2,45,60
3000,9,3,0.4,2996,5,19,2523,1009.2,71,90
3000,9,4,0.4,2995,6,21,2565,1026.0,97,120
3000,9,5,0.4,2995,6,17,2579,1031.6000000000001,121,150
3000,9,6,0.4,2996,5,17,2547,1018.8000000000001,141,180
3000,9,7,0.4,2995,6,18,2506,1002.4000000000001,173,211
3000,9,8,0.4,2992,9,17,2559,1023.6,179,240
3000,9,9,0.4,2992,9,18,2496,998.4000000000001,211,270
3000,9,10,0.4,2993,8,18,2541,1016.4000000000001,246,300
3000,9,11,0.4,2984,17,18,2533,1013.2,256,330
3000,9,12,0.4,2993,8,19,2475,990.0,293,360
3000,9,13,0.4,2992,9,19,2476,990.4000000000001,307,390
3000,9,14,0.4,2986,15,17,2529,1011.6,324,421
3000,9,15,0.4,2994,7,18,2464,985.6,350,450
3000,9,16,0.4,2986,15,21,2494,997.6,362,480
3000,9,17,0.4,2992,9,21,2468,987.2,398,511
3000,9,18,0.4,2986,15,18,2486,994.4000000000001,416,540
3000,9,19,0.4,2985,16,18,2444,977.6,438,570
